# (c) Der Bundeswahlleiter, Statistisches Bundesamt (Destatis), 2018;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
# Wahl zum 19. Deutschen Bundestag (24. September 2017);;;;;;;;;;;;;;;
# Ergebnisse der repräsentativen Wahlstatistik;;;;;;;;;;;;;;;
# Stimmabgabe nach Geschlecht und Geburtsjahresgruppen in den Ländern;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
# Erläuterungen zur Methodik siehe Dokument 'Allgemeine und methodische Hinweise zur repräsentativen Wahlstatistik der Bundestagswahl 2017'.;;;;;;;;;;;;;;;
# Durch Auf- bzw. Abrundungen können sich in der Endsumme geringfügige Abweichungen ergeben.;;;;;;;;;;;;;;;
# Aus methodischen Gründen weichen in einigen Ländern die Summen der Parteien vom amtlichen Endergebnis geringfügig ab.;;;;;;;;;;;;;;;
# Für das Bundesgebiet wurde eine separate Hochrechnung durchgeführt. Die Summen der einzelnen Merkmalsgruppen aus den Länderergebnissen weichen daher geringfügig vom entsprechenden Bundesergebnis ab.;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
Land;Erst-/Zweitstimme;Geschlecht;Geburtsjahresgruppe;Summe;Ungültig;CDU;SPD;DIE LINKE;GRÜNE;CSU;FDP;AfD;Sonstige;dar. NPD;dar. FREIE WÄHLER
HH;2;Summe;Summe;984926;6808;266312;229862;119076;136371;;105610;76511;44376;1799;3458
HH;2;Summe;1993 - 1999;67101;255;13970;14383;10137;11924;;7635;2970;5827;188;122
HH;2;Summe;1983 - 1992;164550;883;34505;30659;28105;29975;;15212;9870;15342;472;788
HH;2;Summe;1973 - 1982;162437;1116;42274;29228;20701;30463;;16428;12526;9701;497;760
HH;2;Summe;1958 - 1972;274869;1645;71029;62232;35677;42905;;26283;24999;10098;475;1029
HH;2;Summe;1948 - 1957;120800;954;30237;34222;15244;11838;;13510;12734;2060;79;418
HH;2;Summe;1947 und früher;195169;1956;74296;59137;9212;9266;;26542;13412;1349;89;340
HH;2;m;Summe;462537;2510;107761;108904;60146;54710;;58236;47703;22567;954;1384
HH;2;m;1993 - 1999;33742;54;6707;7374;4788;4661;;5057;1913;3189;164;40
HH;2;m;1983 - 1992;75831;345;12993;14324;13874;10986;;8983;6279;8047;182;399
HH;2;m;1973 - 1982;77150;411;17975;14201;10099;12354;;9579;7726;4805;220;257
HH;2;m;1958 - 1972;136546;753;30587;31007;18846;18278;;15432;16425;5219;263;557
HH;2;m;1948 - 1957;56893;560;12358;16539;7724;5049;;6442;7228;994;76;102
HH;2;m;1947 und früher;82374;387;27143;25460;4813;3382;;12744;8132;313;49;28
HH;2;w;Summe;522389;4298;158551;120958;58930;81661;;47374;28808;21809;845;2074
HH;2;w;1993 - 1999;33360;201;7264;7009;5348;7263;;2579;1057;2639;25;83
HH;2;w;1983 - 1992;88719;537;21512;16335;14231;18989;;6229;3591;7295;289;389
HH;2;w;1973 - 1982;85287;704;24299;15027;10602;18109;;6849;4800;4896;277;503
HH;2;w;1958 - 1972;138322;892;40443;31225;16831;24627;;10852;8573;4879;211;472
HH;2;w;1948 - 1957;63907;394;17879;17684;7520;6789;;7068;5507;1065;3;315
HH;2;w;1947 und früher;112794;1568;47153;33678;4399;5883;;13797;5280;1035;40;312
NI;1;Summe;Summe;4681871;46554;1777588;1557197;273064;334541;;264801;369663;58463;;23538
NI;1;Summe;1993 - 1999;359100;3020;112708;116885;29358;47980;;23327;18547;7275;;2107
NI;1;Summe;1983 - 1992;563067;4182;185124;174213;47170;53810;;33192;50895;14481;;4130
NI;1;Summe;1973 - 1982;592973;5780;216343;168114;41243;48975;;35058;65039;12421;;5585
NI;1;Summe;1958 - 1972;1398312;12341;485174;472842;86554;119216;;75570;130978;15636;;7677
NI;1;Summe;1948 - 1957;774088;9013;287895;282900;44655;41614;;43470;58985;5556;;2751
NI;1;Summe;1947 und früher;994331;12218;490343;342244;24084;22945;;54185;45219;3094;;1288
NI;1;m;Summe;2251301;23015;813903;753255;143258;123264;;133448;230811;30347;;11842
NI;1;m;1993 - 1999;175928;1747;54993;57726;14947;16843;;13595;12020;4057;;1198
NI;1;m;1983 - 1992;274743;2167;86413;83509;24955;19422;;18833;31678;7767;;1710
NI;1;m;1973 - 1982;287418;2857;100612;78634;21682;18928;;17345;41007;6354;;2967
NI;1;m;1958 - 1972;691775;6329;233577;232991;45329;44655;;37493;82998;8403;;4065
NI;1;m;1948 - 1957;376295;4640;130293;142346;23821;15660;;21237;35619;2680;;1510
NI;1;m;1947 und früher;445141;5276;208015;158049;12525;7756;;24945;27489;1087;;392
NI;1;w;Summe;2430570;23539;963685;803942;129806;211277;;131353;138852;28116;;11696
NI;1;w;1993 - 1999;183172;1273;57716;59159;14411;31136;;9732;6527;3219;;909
NI;1;w;1983 - 1992;288324;2015;98711;90704;22215;34389;;14359;19217;6714;;2420
NI;1;w;1973 - 1982;305555;2923;115731;89480;19561;30048;;17713;24031;6067;;2619
NI;1;w;1958 - 1972;706537;6012;251597;239851;41226;74561;;38076;47981;7233;;3612
NI;1;w;1948 - 1957;397793;4372;157602;140554;20834;25954;;22233;23367;2876;;1241
NI;1;w;1947 und früher;549190;6942;282327;184195;11559;15190;;29240;17730;2007;;895
NI;2;Summe;Summe;4681871;34895;1623481;1275172;322979;404825;;431405;422362;166752;12867;19178
NI;2;Summe;1993 - 1999;359100;2127;96646;83322;33104;50872;;39402;23831;29795;1479;2077
NI;2;Summe;1983 - 1992;563067;2920;159648;126780;53046;59679;;55980;59490;45523;4010;4624
NI;2;Summe;1973 - 1982;592973;3463;197575;124292;45469;60925;;55007;74757;31484;3111;3762
NI;2;Summe;1958 - 1972;1398312;8449;451543;385373;104694;143688;;118298;145953;40314;3336;6230
NI;2;Summe;1948 - 1957;774088;6577;265112;240730;57077;55365;;71433;65627;12167;661;1600
NI;2;Summe;1947 und früher;994331;11360;452956;314675;29589;34296;;91285;52704;7468;270;885
NI;2;m;Summe;2251301;16368;705994;618636;170542;156932;;235136;268238;79453;7817;9619
NI;2;m;1993 - 1999;175928;1338;42199;39987;17405;18228;;26158;15537;15076;994;916
NI;2;m;1983 - 1992;274743;1372;69299;61725;26521;21956;;33308;37372;23190;2256;2196
NI;2;m;1973 - 1982;287418;1520;86717;58236;23894;24065;;29911;47954;15122;2035;1740
NI;2;m;1958 - 1972;691775;4221;207104;191130;55522;57952;;62975;94043;18828;2064;3545
NI;2;m;1948 - 1957;376295;3146;114121;122158;30747;22632;;38502;40132;4857;383;889
NI;2;m;1947 und früher;445141;4770;186554;145401;16453;12099;;44282;33200;2381;86;334
NI;2;w;Summe;2430570;18527;917487;656536;152437;247893;;196269;154124;87299;5049;9559
NI;2;w;1993 - 1999;183172;789;54448;43335;15699;32644;;13243;8295;14720;485;1161
NI;2;w;1983 - 1992;288324;1548;90349;65055;26525;37723;;22673;22118;22334;1755;2428
NI;2;w;1973 - 1982;305555;1942;110858;66056;21576;36860;;25096;26803;16363;1075;2022
NI;2;w;1958 - 1972;706537;4227;244439;194244;49172;85736;;55323;51909;21486;1272;2685
NI;2;w;1948 - 1957;397793;3430;150991;118572;26330;32733;;32931;25496;7310;278;712
NI;2;w;1947 und früher;549190;6590;266401;169274;13136;22197;;47003;19504;5086;185;552
HB;1;Summe;Summe;335919;4451;83369;106021;37449;34758;;28709;30307;10856;565;1329
HB;1;Summe;1993 - 1999;23349;279;3905;7070;3267;3669;;2057;841;2260;48;119
HB;1;Summe;1983 - 1992;44606;446;9483;12580;5854;6231;;3489;4360;2163;129;110
HB;1;Summe;1973 - 1982;41002;428;10056;10430;4543;5643;;3635;3996;2271;74;329
HB;1;Summe;1958 - 1972;96928;1039;20803;30931;12140;11281;;6188;11832;2714;93;577
HB;1;Summe;1948 - 1957;55512;559;12618;19446;7636;4854;;4714;4862;823;121;55
HB;1;Summe;1947 und früher;74522;1700;26504;25564;4008;3080;;8625;4417;625;101;139
HB;1;m;Summe;162655;2260;36701;51322;18707;12804;;14725;19175;6961;490;673
HB;1;m;1993 - 1999;11638;148;1836;3369;1565;1090;;1603;357;1671;47;110
HB;1;m;1983 - 1992;22649;246;4680;6279;3056;2045;;2056;2905;1381;119;88
HB;1;m;1973 - 1982;20089;254;4632;4741;2437;2349;;1673;2559;1443;54;65
HB;1;m;1958 - 1972;47835;580;9388;15560;5666;4047;;3398;7642;1554;93;292
HB;1;m;1948 - 1957;26675;379;5435;9555;3767;2078;;2231;2712;518;79;13
HB;1;m;1947 und früher;33769;653;10730;11819;2215;1193;;3763;3000;395;99;106
HB;1;w;Summe;173264;2191;46668;54698;18742;21954;;13984;11132;3895;75;656
HB;1;w;1993 - 1999;11710;131;2069;3701;1702;2579;;455;484;589;1;9
HB;1;w;1983 - 1992;21957;200;4803;6301;2798;4186;;1433;1454;783;10;22
HB;1;w;1973 - 1982;20913;174;5424;5689;2106;3293;;1962;1437;828;21;264
HB;1;w;1958 - 1972;49094;460;11414;15371;6474;7233;;2790;4190;1161;0;286
HB;1;w;1948 - 1957;28837;179;7183;9892;3869;2776;;2483;2150;305;42;42
HB;1;w;1947 und früher;40753;1047;15773;13745;1793;1886;;4862;1417;230;2;33
HB;2;Summe;Summe;335919;2969;83409;88944;44629;36733;;31056;33201;14978;1096;1353
HB;2;Summe;1993 - 1999;23349;121;4192;5342;3815;3640;;2380;1087;2770;57;108
HB;2;Summe;1983 - 1992;44606;267;9703;9152;6414;6498;;4094;4974;3505;322;179
HB;2;Summe;1973 - 1982;41002;106;9684;8248;5620;5982;;4066;4140;3157;135;415
HB;2;Summe;1958 - 1972;96928;800;21164;25839;14859;11967;;5999;12702;3600;263;338
HB;2;Summe;1948 - 1957;55512;331;13457;16508;9012;5438;;4451;5358;958;220;32
HB;2;Summe;1947 und früher;74522;1344;25209;23856;4909;3209;;10066;4940;989;100;281
HB;2;m;Summe;162655;1400;35356;42381;23151;14861;;16496;21290;7719;710;536
HB;2;m;1993 - 1999;11638;68;2075;2647;1701;1291;;1809;461;1585;47;1
HB;2;m;1983 - 1992;22649;192;4702;4480;3566;2366;;2372;3195;1775;149;85
HB;2;m;1973 - 1982;20089;91;4096;3420;2733;2816;;2067;3057;1810;110;113
HB;2;m;1958 - 1972;47835;369;9214;12970;7554;4647;;3258;8172;1651;132;142
HB;2;m;1948 - 1957;26675;193;5460;7992;4861;2500;;2350;2983;335;174;2
HB;2;m;1947 und früher;33769;487;9809;10872;2736;1241;;4640;3422;562;99;192
HB;2;w;Summe;173264;1569;48053;46563;21478;21872;;14560;11911;7259;385;818
HB;2;w;1993 - 1999;11710;53;2117;2695;2114;2349;;572;626;1185;9;107
HB;2;w;1983 - 1992;21957;75;5001;4672;2848;4132;;1722;1778;1730;173;95
HB;2;w;1973 - 1982;20913;15;5589;4828;2887;3166;;1999;1083;1347;25;302
HB;2;w;1958 - 1972;49094;431;11950;12869;7305;7320;;2740;4530;1949;132;196
HB;2;w;1948 - 1957;28837;138;7997;8516;4150;2938;;2102;2375;623;46;29
HB;2;w;1947 und früher;40753;858;15400;12984;2173;1967;;5426;1519;426;1;89
NW;1;Summe;Summe;9938461;124291;3756952;3073698;626631;641360;;787235;799777;128517;;26484
NW;1;Summe;1993 - 1999;753368;9029;239444;222781;62351;83320;;77242;39965;19237;;2653
NW;1;Summe;1983 - 1992;1242170;11235;396773;364347;111081;106453;;110773;107318;34189;;6026
NW;1;Summe;1973 - 1982;1271863;13625;457841;332743;91755;101205;;116442;132366;25886;;4515
NW;1;Summe;1958 - 1972;2978241;31918;1017210;934649;201574;231027;;230600;295882;35380;;9589
NW;1;Summe;1948 - 1957;1593807;20044;599367;541903;101857;76075;;116620;128406;9535;;2662
NW;1;Summe;1947 und früher;2099011;38439;1046317;677276;58014;43280;;135558;95840;4290;;1040
NW;1;m;Summe;4767909;58350;1687345;1490698;327237;240914;;391645;498746;72974;;13981
NW;1;m;1993 - 1999;377355;4709;117365;109888;31672;29966;;47484;25798;10474;;1715
NW;1;m;1983 - 1992;609108;5943;185091;172263;58700;39314;;60527;67160;20112;;3191
NW;1;m;1973 - 1982;620880;6781;210672;160299;48104;37895;;60313;81552;15263;;2342
NW;1;m;1958 - 1972;1484508;15860;489819;469003;103639;87186;;110517;188465;20020;;5004
NW;1;m;1948 - 1957;772523;9871;267878;272588;55006;29982;;53601;78770;4827;;1219
NW;1;m;1947 und früher;903534;15186;416519;306659;30116;16571;;59203;57002;2278;;509
NW;1;w;Summe;5170552;65941;2069607;1583000;299394;400446;;395590;301031;55543;;12504
NW;1;w;1993 - 1999;376013;4321;122078;112893;30678;53354;;29758;14168;8763;;937
NW;1;w;1983 - 1992;633062;5293;211683;192084;52382;67139;;50246;40159;14077;;2834
NW;1;w;1973 - 1982;650984;6844;247169;172444;43650;63311;;56129;50814;10622;;2173
NW;1;w;1958 - 1972;1493733;16059;527390;465647;97935;143840;;120084;107417;15360;;4585
NW;1;w;1948 - 1957;821284;10172;331489;269315;46850;46094;;63019;49636;4708;;1443
NW;1;w;1947 und früher;1195477;23252;629797;370617;27898;26708;;76355;38838;2012;;531
NW;2;Summe;Summe;9938461;85084;3214013;2557876;736904;744970;;1293052;928425;378137;21728;27878
NW;2;Summe;1993 - 1999;753368;5121;184050;165741;68257;91743;;121764;47265;69428;2486;2317
